RatingID,Rating
1,3.84
2,4.36
3,1.48
4,1.23
5,3.46
6,4.58
7,2.40
8,2.67
9,3.93
10,4.54
11,1.17
12,2.76
13,4.93
14,4.62
15,3.00
16,4.93
17,4.82
18,1.44
19,2.63
20,2.02
21,3.69
22,4.56
23,3.99
24,4.53
25,3.22
26,1.97
27,4.23
28,2.80
29,1.16
30,2.28
31,2.96
32,2.08
33,4.55
34,4.47
35,2.32
36,2.88
37,2.30
38,4.87
39,1.74
40,2.87
41,3.18
42,4.55
43,1.20
44,4.07
45,1.54
46,4.58
47,4.59
48,4.37
49,1.43
50,1.64
51,3.24
52,1.00
53,2.94
54,3.94
55,4.51
56,2.54
57,3.21
58,1.02
59,1.43
60,2.48
61,2.66
62,1.46
63,4.97
64,4.59
65,2.18
66,4.54
67,3.18
68,4.23
69,3.58
70,3.61
71,2.88
72,4.19
73,1.71
74,4.15
75,3.06
76,3.55
77,2.57
78,1.22
79,4.58
80,3.50
81,1.58
82,4.39
83,3.38
84,3.93
85,3.08
86,3.31
87,3.13
88,4.61
89,2.47
90,3.58
91,3.88
92,2.68
93,4.36
94,4.75
95,1.62
96,3.76
97,1.28
98,4.43
99,3.74
100,1.87
101,2.26
102,1.36
103,3.77
104,2.39
105,3.43
106,2.92
107,2.91
108,3.20
109,1.69
110,3.26
111,2.82
112,3.59
113,2.35
114,3.20
115,1.91
116,1.03
117,4.16
118,1.60
119,1.77
120,2.02
121,4.52
122,3.22
123,1.01
124,1.34
125,3.82
126,2.67
127,2.51
128,4.48
129,2.72
130,1.12
131,4.96
132,2.11
133,4.45
134,3.17
135,3.15
136,4.56
137,3.70
138,4.91
139,2.30
140,2.83
141,3.90
142,2.49
143,1.97
144,1.16
145,2.96
146,3.17
147,4.70
148,4.83
149,1.93
150,1.21
151,2.28
152,1.45
153,2.87
154,4.62
155,1.13
156,4.06
157,1.90
158,4.75
159,3.48
160,3.67
161,4.87
162,1.33
163,3.05
164,4.20
165,3.75
166,4.87
167,4.93
168,4.46
169,3.98
170,3.57
171,2.91
172,1.82
173,4.06
174,4.44
175,1.40
176,1.43
177,3.84
178,3.62
179,4.49
180,3.46
181,1.65
182,3.63
183,1.98
184,2.73
185,3.97
186,3.48
187,3.48
188,2.88
189,3.77
190,1.16
191,3.39
192,2.16
193,4.17
194,1.47
195,3.14
196,1.01
197,4.47
198,4.73
199,2.75
200,1.58
201,1.37
202,1.18
203,3.36
204,1.86
205,1.00
206,2.39
207,3.38
208,4.11
209,1.96
210,1.15
211,3.90
212,2.55
213,2.07
214,3.01
215,2.14
216,3.93
217,1.94
218,3.98
219,3.24
220,1.88
221,1.77
222,4.90
223,1.81
224,1.05
225,4.85
226,2.54
227,4.55
228,1.42
229,2.70
230,2.16
231,1.10
232,4.18
233,2.51
234,2.21
235,2.34
236,1.07
237,3.53
238,1.96
239,2.81
240,1.68
241,3.09
242,4.53
243,4.10
244,3.84
245,2.73
246,3.54
247,3.30
248,1.73
249,3.43
250,3.91
251,2.47
252,1.40
253,3.91
254,1.07
255,1.56
256,1.62
257,4.97
258,4.20
259,3.54
260,1.33
261,4.67
262,3.06
263,2.00
264,3.11
265,2.69
266,3.16
267,3.24
268,1.68
269,3.54
270,3.65
271,2.60
272,4.79
273,4.25
274,2.39
275,1.92
276,3.14
277,1.60
278,3.40
279,2.70
280,3.94
281,2.18
282,2.41
283,2.41
284,2.95
285,4.75
286,2.89
287,1.40
288,1.08
289,3.88
290,2.83
291,4.55
292,1.30
293,3.68
294,3.40
295,1.10
296,3.40
297,4.82
298,3.92
299,3.25
300,1.50
301,4.98
302,3.45
303,1.62
304,4.99
305,1.36
306,4.84
307,3.13
308,1.83
309,1.09
310,3.14
311,1.78
312,3.97
313,2.70
314,3.28
315,3.09
316,2.32
317,1.20
318,1.37
319,4.17
320,4.77
321,2.47
322,1.79
323,2.30
324,2.75
325,3.32
326,1.71
327,3.34
328,4.27
329,3.83
330,2.72
331,5.00
332,4.23
333,4.78
334,2.74
335,1.77
336,2.75
337,1.97
338,4.19
339,4.19
340,1.10
341,4.73
342,1.95
343,2.64
344,2.69
345,1.86
346,3.31
347,3.59
348,4.06
349,3.00
350,4.03
351,1.41
352,4.24
353,3.82
354,3.86
355,4.17
356,1.75
357,4.08
358,1.29
359,4.04
360,4.86
361,1.90
362,4.96
363,2.67
364,4.57
365,4.80
366,4.77
367,1.02
368,1.40
369,3.12
370,1.50
371,3.21
372,1.08
373,5.00
374,3.21
375,2.37
376,3.16
377,1.31
378,3.06
379,4.25
380,4.27
381,4.64
382,3.74
383,1.52
384,4.29
385,1.38
386,3.44
387,1.69
388,1.04
389,1.48
390,2.24
391,4.95
392,4.38
393,4.78
394,4.47
395,4.42
396,3.98
397,1.02
398,3.16
399,3.26
400,3.34
401,2.90
402,3.14
403,3.06
404,2.14
405,4.58
406,2.88
407,2.03
408,4.75
409,1.13
410,1.07
411,4.25
412,1.87
413,3.47
414,3.02
415,3.71
416,1.79
417,4.36
418,2.49
419,2.26
420,1.06
421,2.97
422,4.26
423,2.81
424,1.00
425,2.97
426,4.16
427,3.38
428,3.22
429,1.55
430,4.94
431,4.69
432,2.93
433,1.23
434,3.24
435,2.29
436,4.15
437,4.74
438,4.33
439,1.51
440,3.06
441,1.16
442,1.49
443,1.50
444,2.76
445,3.20
446,3.25
447,2.25
448,1.26
449,1.40
450,2.64
451,1.36
452,1.71
453,1.60
454,4.87
455,4.53
456,3.52
457,4.63
458,3.95
459,2.87
460,3.63
461,3.51
462,2.41
463,3.86
464,3.88
465,3.75
466,1.13
467,3.10
468,2.92
469,2.70
470,3.20
471,2.11
472,2.54
473,4.92
474,1.01
475,1.15
476,2.23
477,1.96
478,1.75
479,1.48
480,1.85
481,4.26
482,3.23
483,3.48
484,1.01
485,3.55
486,3.66
487,2.06
488,2.10
489,2.10
490,2.86
491,2.68
492,2.46
493,2.84
494,4.59
495,4.57
496,4.38
497,1.70
498,3.12
499,1.25
500,3.70
501,1.66
502,2.98
503,4.71
504,3.25
505,2.79
506,1.86
507,2.33
508,1.86
509,1.20
510,3.66
511,2.72
512,1.30
513,3.52
514,4.84
515,1.81
516,3.29
517,2.99
518,1.94
519,3.26
520,1.97
521,2.60
522,3.30
523,2.95
524,4.70
525,4.04
526,4.00
527,3.97
528,1.17
529,1.58
530,4.45
531,3.03
532,1.58
533,3.85
534,1.25
535,2.28
536,1.58
537,4.05
538,1.76
539,1.49
540,3.93
541,4.68
542,2.69
543,1.73
544,1.54
545,2.09
546,2.39
547,4.71
548,1.18
549,1.69
550,1.29
551,3.83
552,2.50
553,4.92
554,2.06
555,4.02
556,1.85
557,3.08
558,1.80
559,2.99
560,1.86
561,1.28
562,3.07
563,1.26
564,4.87
565,3.10
566,1.94
567,1.95
568,1.84
569,4.62
570,1.71
571,2.36
572,4.17
573,1.95
574,2.17
575,3.51
576,1.38
577,1.62
578,2.20
579,1.85
580,4.30
581,4.29
582,1.60
583,3.41
584,3.51
585,2.73
586,1.11
587,1.90
588,2.36
589,4.29
590,1.05
591,4.63
592,2.16
593,1.03
594,3.59
595,1.69
596,2.48
597,1.28
598,4.06
599,1.47
600,2.71
601,1.35
602,4.28
603,2.50
604,2.82
605,4.71
606,3.52
607,1.43
608,1.26
609,4.43
610,1.70
611,4.63
612,3.59
613,1.95
614,1.16
615,2.17
616,1.12
617,3.51
618,1.47
619,4.38
620,3.07
621,1.94
622,1.26
623,4.32
624,2.90
625,1.56
626,4.86
627,4.87
628,1.88
629,2.81
630,3.66
631,1.70
632,1.02
